customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,policy,cost
140813,9,1,2,13:02,PA,37390,1,0,13,e,NA,24,24,0,1,5,1,675
140815,6,1,3,13:41,FL,33166,2,0,2,e,2,52,21,0,1,6,4,653
140809,7,1,4,14:45,PA,39166,1,1,20,d,NA,51,51,0,3,1,1,620
140811,6,1,1,12:42,RI,38272,1,0,17,c,3,24,24,0,3,8,3,661
281617,7,1,2,9:47,IA,43903,1,0,12,e,NA,55,55,0,4,4,3,595
140807,5,1,3,11:53,OR,39532,2,1,32,g,NA,46,46,1,1,3,2,585
281621,5,1,1,20:08,WA,39964,1,0,12,f,NA,27,27,0,1,0,1,668
281623,9,1,2,9:51,MD,31741,1,0,18,e,3,35,35,0,1,3,1,669
140803,6,1,1,16:50,WI,39790,1,1,4,f,NA,30,30,0,3,3,2,636
140829,5,1,0,14:49,MD,31888,1,1,9,e,1,64,64,0,3,10,2,607
140825,7,1,3,10:58,MS,45556,1,1,9,g,NA,23,23,0,1,0,2,742
281613,5,1,2,15:44,FL,31168,1,1,14,d,1,68,68,0,3,3,1,550
281615,5,1,2,10:09,IA,31564,1,0,6,g,NA,43,43,0,3,8,3,583
140821,4,1,2,11:33,FL,33790,1,1,13,f,2,44,44,0,1,9,3,635
140817,9,1,0,13:34,PA,34723,1,0,2,i,NA,43,43,0,3,6,3,763
281607,3,1,4,10:04,AR,32254,1,1,18,f,3,72,72,0,2,1,3,622
140847,5,1,4,17:45,NV,43606,1,0,2,c,2,62,62,0,1,7,2,621
281663,4,1,4,16:48,WA,31696,1,0,8,f,4,25,25,0,4,2,4,620
140837,9,1,4,12:24,FL,30400,2,1,1,h,3,75,72,1,4,2,2,706
281655,5,1,0,11:08,OH,30391,1,1,7,d,2,66,66,0,1,15,2,571
140863,8,1,2,10:34,IN,32458,1,1,9,f,4,31,16,0,2,12,1,560
140861,8,1,0,12:09,NY,30358,2,1,2,f,1,44,42,1,3,13,1,667
281645,5,1,0,16:57,AR,47110,1,0,8,g,NA,24,24,0,2,8,4,671
281635,7,1,3,14:52,KY,39784,2,0,14,d,NA,47,39,1,1,5,1,665
140851,9,1,4,14:04,NY,34546,1,1,3,d,2,29,29,0,4,2,1,599
281639,11,1,2,18:05,UT,45508,2,1,2,e,NA,48,16,0,1,5,2,730
281693,5,1,3,13:34,NY,42685,1,0,2,f,3,30,30,0,4,2,1,655
140873,9,1,3,14:13,NY,30769,1,0,2,e,4,30,30,0,3,8,1,734
140875,6,1,1,14:44,FL,33958,1,0,15,f,3,46,46,0,1,3,1,644
281685,8,1,3,17:05,TN,32401,1,1,2,d,NA,54,54,0,2,6,2,637
281687,8,1,5,13:48,PA,36349,1,1,9,f,4,31,31,0,3,3,3,568
281681,7,1,0,11:15,NY,35512,1,0,7,f,2,22,22,0,4,6,1,646
140869,7,1,3,17:11,TN,35770,1,0,5,d,NA,24,24,0,2,6,3,674
281683,5,1,1,12:13,NY,38068,2,0,1,h,1,75,71,1,3,5,1,698
140871,7,1,1,12:21,NM,42370,2,1,17,f,4,64,64,1,1,8,1,562
140889,9,1,3,11:31,OH,33487,1,0,9,e,3,30,30,0,NA,NA,2,637
140891,5,1,2,14:12,NY,46546,1,1,10,d,1,51,51,0,1,5,1,645
140895,8,1,3,17:01,AL,36073,1,1,7,e,1,75,75,1,3,15,2,696
